"Age_Group","Gender","Preferred_Media","Hours_Per_Week","Satisfaction","Meets_Expectations","Emotional_Engagement","Value_For_Time","Re_Watched","Revisit_Times","Prefer_Familiar_Content","Usual_Content_Type","Satisfaction_Score","Repeat_Viewer"
"Teen (13-19 years)","Male","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.)","6-10 hours",4,2,4,5,"Yes","Once",4,"drama",3.75,"Yes"
"Young Adult (20-29 years)","Female","YouTube","2-5 hours",3,3,3,4,"Yes","More than 3 times",5,"Newly released songs",3.25,"Yes"
"Young Adult (20-29 years)","Female","YouTube","6-10 hours",1,4,3,4,"Yes","Once",3,"Not Specified",3,"Yes"
"Teen (13-19 years)","Male","YouTube, Podcasts, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,3,"Yes","More than 3 times",2,"music/educational documentarys/youtube(long form content)",3.75,"Yes"
"Middle-Aged Adult (45-59 years)","Male","YouTube","6-10 hours",3,4,3,3,"Yes","2-3 times",1,"Cricket and musical events",3.25,"Yes"
"Young Adult (20-29 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,4,4,4,"Yes","More than 3 times",1,"Songs",4,"Yes"
"Young Adult (20-29 years)","Male","YouTube, Podcasts, Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",4,4,3,3,"Yes","2-3 times",3,"Investigations",3.5,"Yes"
"Young Adult (20-29 years)","Male","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,4,3,2,"Yes","2-3 times",2,"Music",3.25,"Yes"
"Young Adult (20-29 years)","Male","Social Media (Tiktok, Facebook, Instagram)","6-10 hours",3,3,3,3,"No","Never",3,"Not Specified",3,"No"
"Young Adult (20-29 years)","Male","Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","2-5 hours",4,4,3,3,"No","Never",1,"Not Specified",3.5,"No"
"Young Adult (20-29 years)","Male","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,4,2,3,"Yes","Once",4,"Music",3.25,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Social Media (Tiktok, Facebook, Instagram)","2-5 hours",1,1,1,1,"Yes","Never",1,"Not Specified",1,"No"
"Middle-Aged Adult (45-59 years)","Male","Television, YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Radio, Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",3,3,2,4,"Yes","Once",3,"Not Specified",3,"Yes"
"Young Adult (20-29 years)","Male","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","2-5 hours",3,3,4,2,"Yes","2-3 times",3,"Music",3,"Yes"
"Young Adult (20-29 years)","Female","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","2-5 hours",5,5,4,4,"Yes","Once",4,"Not Specified",4.5,"Yes"
"Young Adult (20-29 years)","Female","YouTube","2-5 hours",4,4,3,4,"Yes","2-3 times",4,"Re listen",3.75,"Yes"
"Young Adult (20-29 years)","Female","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","6-10 hours",5,5,5,5,"Yes","2-3 times",5,"Musically dramas , concerts",5,"Yes"
"Young Adult (20-29 years)","Male","YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,5,5,5,"Yes","Once",4,"Mostly competitions",4.75,"Yes"
"Middle-Aged Adult (45-59 years)","Male","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",4,4,1,3,"Yes","2-3 times",2,"Not Specified",3,"Yes"
"Young Adult (20-29 years)","Female","YouTube","More than 10 hours",4,4,5,2,"Yes","More than 3 times",3,"Shorts videos",3.75,"Yes"
"Senior (60 years and above)","Male","Television, YouTube, Radio","2-5 hours",5,5,5,5,"No","Never",2,"I dont  tusually revisit contery",5,"No"
"Senior (60 years and above)","Male","Television, YouTube, Radio, Social Media (Tiktok, Facebook, Instagram)","2-5 hours",3,3,2,4,"Yes","Once",3,"Not Specified",3,"Yes"
"Young Adult (20-29 years)","Male","Television, YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Radio, Podcasts, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,4,3,3,"Yes","Once",3,"Comedy",3.5,"Yes"
"Adult (30-44 years)","Male","Television, YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,5,4,5,"Yes","2-3 times",3,"Not Specified",4.75,"Yes"
"Middle-Aged Adult (45-59 years)","Female","YouTube, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",3,2,5,3,"Yes","2-3 times",5,"Musical",3.25,"Yes"
"Young Adult (20-29 years)","Female","YouTube","Less than 2 hours",4,4,4,4,"Yes","Once",1,"Music related content",4,"Yes"
"Middle-Aged Adult (45-59 years)","Male","YouTube, Podcasts, Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",4,4,4,3,"Yes","Once",2,"Sports",3.75,"Yes"
"Senior (60 years and above)","Male","Television, Social Media (Tiktok, Facebook, Instagram)","2-5 hours",3,4,3,5,"Yes","2-3 times",4,"Songs",3.75,"Yes"
"Young Adult (20-29 years)","Male","Television, YouTube","6-10 hours",4,3,4,4,"Yes","More than 3 times",3,"Musics",3.75,"Yes"
"Young Adult (20-29 years)","Male","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,4,"Yes","2-3 times",2,"Movies",4,"Yes"
"Young Adult (20-29 years)","Male","Television, YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","2-5 hours",3,3,3,3,"No","Never",1,"Music",3,"No"
"Middle-Aged Adult (45-59 years)","Male","Television, YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,3,4,4,"Yes","More than 3 times",3,"music video, comedy shows, motivational speeches and contests motor racing events",3.75,"Yes"
"Young Adult (20-29 years)","Male","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,3,"Yes","Once",1,"Not Specified",3.75,"Yes"
"Young Adult (20-29 years)","Male","Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",2,3,4,3,"Yes","Once",4,"Vlog",3,"Yes"
"Teen (13-19 years)","Male","Television, YouTube","6-10 hours",4,4,5,5,"Yes","More than 3 times",4,"Tv series",4.5,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Radio","2-5 hours",2,1,2,3,"No","Never",5,"Not Specified",2,"No"
"Senior (60 years and above)","Male","Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",2,2,3,2,"No","Once",4,"Feeds",2.25,"Yes"
"Teen (13-19 years)","Male","Television, YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Radio, Podcasts, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,5,5,5,"Yes","More than 3 times",5,"Movies",5,"Yes"
"Senior (60 years and above)","Female","Television","2-5 hours",4,4,4,4,"No","Never",4,"Not Specified",4,"No"
"Senior (60 years and above)","Male","Television","2-5 hours",1,2,4,3,"No","Never",4,"Not Specified",2.5,"No"
"Teen (13-19 years)","Female","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,5,4,3,"Yes","Once",3,"Tv shows, Match highlights, vlogs",4.25,"Yes"
"Middle-Aged Adult (45-59 years)","Female","YouTube, Social Media (Tiktok, Facebook, Instagram)","2-5 hours",5,5,5,3,"Yes","2-3 times",3,"Music and food recipes",4.5,"Yes"
"Young Adult (20-29 years)","Male","YouTube, Radio, Social Media (Tiktok, Facebook, Instagram)","2-5 hours",5,5,4,3,"No","Once",2,"Not Specified",4.25,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",3,3,4,3,"Yes","2-3 times",4,"Music",3.25,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Social Media (Tiktok, Facebook, Instagram)","2-5 hours",3,3,3,2,"No","Never",1,"If it is really importantt only",2.75,"No"
"Young Adult (20-29 years)","Male","YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,3,2,"Yes","Once",3,"Not Specified",3.25,"Yes"
"Young Adult (20-29 years)","Male","YouTube, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",3,3,4,3,"Yes","2-3 times",4,"Songs, comedy contents",3.25,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Social Media (Tiktok, Facebook, Instagram)","2-5 hours",3,2,3,4,"No","Once",4,"Cookery videos",3,"Yes"
"Young Adult (20-29 years)","Male","YouTube, Social Media (Tiktok, Facebook, Instagram)","2-5 hours",2,3,2,1,"Yes","Once",3,"Music",2,"Yes"
"Middle-Aged Adult (45-59 years)","Male","YouTube","Less than 2 hours",3,4,4,2,"No","Once",3,"I dont like to re watch or re listen.",3.25,"Yes"
"Middle-Aged Adult (45-59 years)","Male","YouTube","Less than 2 hours",2,2,3,1,"Yes","Never",1,"Song",2,"No"
"Young Adult (20-29 years)","Female","Television, YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","2-5 hours",4,4,4,4,"Yes","2-3 times",4,"Not Specified",4,"Yes"
"Young Adult (20-29 years)","Female","YouTube","2-5 hours",5,3,3,4,"Yes","More than 3 times",4,"Not Specified",3.75,"Yes"
"Young Adult (20-29 years)","Male","YouTube, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,4,4,4,"Yes","Once",3,"Sci-fic , Programming/Tech",4,"Yes"
